Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference
24/05/2024,25/05/2024,NORTH SANDWICH&BURGER,-10.69,,,,AEDMO,NORTH SANDWICH&BURGER,"309 KENT STREET
SHOP 3","CHIPPENDALE
NSW",2008,AUSTRALIA,'AT241460004000010026940'
24/05/2024,25/05/2024,NORTH SANDWICH&BURGER 6 CHIPPENDALE,53.45,,,,,NORTH SANDWICH&BURGER 6 CHIPPENDALE,"309 KENT STREET
SHOP 3","CHIPPENDALE
NSW",2008,AUSTRALIA,'AT241460004000010018135'
24/05/2024,25/05/2024,POCKET ROCKETZ          Ultimo,36.48,,,,,POCKET ROCKETZ          Ultimo,,,,,'AT241460004000010046583'
24/05/2024,25/05/2024,PROVENANCE BY ANDREW BA Ultimo,36.48,,,,,PROVENANCE BY ANDREW BA Ultimo,,,,,'AT241460004000010046582'
24/05/2024,25/05/2024,SHERIDAN OUTLET         KEW,26.00,,,,,SHERIDAN OUTLET         KEW,"45 JONES ST
LEVEL 6","ULTIMO
NSW",2007,AUSTRALIA,'AT241460004000010037137'
24/05/2024,25/05/2024,SMOKEY SUE'S            Haymarket,38.00,,,,,SMOKEY SUE'S            Haymarket,,,,,'AT241460004000010020200'
24/05/2024,25/05/2024,THE Q ON HARRIS,-0.80,,,,AEDMO,THE Q ON HARRIS,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241460004000010026939'
24/05/2024,25/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.00,,,,,THE Q ON HARRIS 58996   ULTIMO,597 HARRIS ST,"ULTIMO
NSW",2007,AUSTRALIA,'AT241460004000010017801'
23/05/2024,24/05/2024,GRAM CAFE THE GALERIES,-2.96,,,,AEDMO,GRAM CAFE THE GALERIES,"500 GEORGE STREET
SHOP RG016 THE GALERIES","SYDNEY
NSW",2000,AUSTRALIA,'AT241450004000010035006'
23/05/2024,23/05/2024,GRAM CAFE THE GALERIES  Sydney,14.82,,,,,GRAM CAFE THE GALERIES  Sydney,"500 GEORGE STREET
SHOP RG016 THE GALERIES","SYDNEY
NSW",2000,AUSTRALIA,'AT241440009000010000734'
