date,description,amount,provider
25/05/2024,NORTH SANDWICH&BURGER,-10.69,AMEX
25/05/2024,NORTH SANDWICH&BURGER 6 CHIPPENDALE,53.45,AMEX
25/05/2024,POCKET ROCKETZ          Ultimo,36.48,AMEX
25/05/2024,PROVENANCE BY ANDREW BA Ultimo,36.48,AMEX
25/05/2024,SHERIDAN OUTLET         KEW,26.0,AMEX
25/05/2024,SMOKEY SUE'S            Haymarket,38.0,AMEX
25/05/2024,THE Q ON HARRIS,-0.8,AMEX
25/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.0,AMEX
24/05/2024,GRAM CAFE THE GALERIES,-2.96,AMEX
23/05/2024,GRAM CAFE THE GALERIES  Sydney,14.82,AMEX
22/05/2024,BPAY PAYMENT-THANK YOU REC # 8112686749,-3789.15,AMEX
23/05/2024,EDITION ROASTERS MC,-1.2,AMEX
23/05/2024,EDITION ROASTERS MC 124 SYDNEY,6.0,AMEX
24/05/2024,PAYPAL *CANCERCOUNC     01300656585,5.28,AMEX
23/05/2024,BOOM CAFE,-4.0,AMEX
22/05/2024,BOOM CAFE 111667        EASTWOOD,20.0,AMEX
23/05/2024,COLES WEST RYDE 968     WEST RYDE,34.65,AMEX
21/05/2024,ESSENTIAL THAI PTY LTD  EASTWOOD,60.9,AMEX
20/05/2024,LIM'S HOT BREAD         Eastwood,9.6,AMEX
20/05/2024,CENTURY VENUES MARRICKV MARRICKVILLE,112.0,AMEX
20/05/2024,EDITION ROASTERS,-1.32,AMEX
20/05/2024,EDITION ROASTERS 79951  HAYMARKET,6.6,AMEX
18/05/2024,KAPPUCCINO,-0.84,AMEX
18/05/2024,KAPPUCCINO              Ultimo,4.2,AMEX
19/05/2024,KINDLE SVCS             503-7150002,19.99,AMEX
19/05/2024,WOOLWORTHS 1129 MACQUAR NORTH RYDE,3.0,AMEX
18/05/2024,PAYPAL *UFC.TV          5166228300,10.99,AMEX
18/05/2024,THE Q ON HARRIS,-0.8,AMEX
18/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.0,AMEX
17/05/2024,EDITION ROASTERS 79951  HAYMARKET,6.0,AMEX
18/05/2024,MYHEALTH DARLING SQUARE SYDNEY,72.47,AMEX
17/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.0,AMEX
16/05/2024,CITY DAE JANG KUM       HAYMARKET,51.9,AMEX
17/05/2024,HARRIS FARM MARKETS     BROADWAY,18.99,AMEX
16/05/2024,ZILIA                   SYDNEY,7.65,AMEX
14/05/2024,EDITION ROASTERS MC 124 SYDNEY,5.0,AMEX
16/05/2024,GUZMAN Y GOMEZ MARTIN P SYDNEY,16.9,AMEX
14/05/2024,AN VIET EASTWOOD PTY 16 EASTWOOD,19.9,AMEX
13/05/2024,GLOBIRD ENERGY PTY LTD  RINGWOOD,33.74,AMEX
13/05/2024,LS PRIDE ONE HOLDINGS   RYDE,9.4,AMEX
13/05/2024,PANTRY STORY            STANMORE,34.81,AMEX
12/05/2024,Craig Cook The Natural  BROADWAY,20.31,AMEX
12/05/2024,HARRIS FARM MARKETS     BROADWAY,22.99,AMEX
11/05/2024,LS VIA ARTISTS          SYDNEY,138.0,AMEX
12/05/2024,MUJI RETAIL (AUSTRALIA) SYDNEY,3.75,AMEX
12/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.0,AMEX
13/05/2024,WW METRO 1449 PYRMONT   PYRMONT,36.7,AMEX
10/05/2024,ALL PURPOSE BAKERY      Sydney,16.66,AMEX
12/05/2024,GONG GROCER             SYDNEY,19.25,AMEX
11/05/2024,LIQUORLAND EXP SYD WORL SYDNEY,22.0,AMEX
11/05/2024,ZILIA                   SYDNEY,15.81,AMEX
09/05/2024,OUTTA COFFEE PTY LTD    Haymarket,10.0,AMEX
10/05/2024,THE Q ON HARRIS 58996   ULTIMO,4.0,AMEX
09/05/2024,PAYPAL *NETFLIX AUS     4085403700,22.99,AMEX
08/05/2024,EDITION ROASTERS MC 124 SYDNEY,6.0,AMEX
08/05/2024,SYDNEY PARK CYCLERY     ST PETERS,70.0,AMEX
08/05/2024,PIXEL PERFECT PROLAB    ULTIMO,258.75,AMEX
08/05/2024,THAI KEE IGA SUPERMARKE HAYMARKET,52.99,AMEX
06/05/2024,JB HI FI MACQUARIE,-10.0,AMEX
06/05/2024,PANTRY STORY            STANMORE,19.36,AMEX
05/05/2024,WWW.SIXPENNY.COM.AU     PETERSHAM,537.46,AMEX
